Rank,Name,TokenType,Volume,24h%,7d%,Floor Price,Owners,Items
1,CryptoPunks,ETH,"873,438.85",-45.80%,-22.91%,---,3.4K,10.0K
2,Bored Ape Yacht Club,ETH,"461,662.65",-38.42%,210.68%,99.99,6.4K,10.0K
3,Mutant Ape Yacht Club,ETH,"284,572.84",-58.81%,259.66%,21.5,12.0K,18.4K
4,Decentraland,ETH,"249,274.36",-17.23%,-29.24%,3.39,6.9K,97.4K
5,Art Blocks Curated,ETH,"235,295.90",127.29%,6.43%,---,10.9K,52.3K
6,The Sandbox,ETH,"157,330.65",-5.58%,-38.16%,2.75,20.4K,169.2K
7,CLONE X - X TAKASHI MURAKAMI,ETH,"147,868.24",-53.31%,72.65%,14.3,8.7K,19.1K
8,Azuki,ETH,"134,934.01",-49.88%,125.81%,12.3,5.6K,10.0K
9,Rarible,ETH,"99,665.35",-57.37%,-7.57%,< 0.01,209.5K,313.7K
10,Meebits,ETH,"99,154.39",-81.60%,-66.24%,5.8,6.1K,20.0K
11,Cool Cats NFT,ETH,"93,864.32",-44.03%,139.87%,7.95,5.4K,9.9K
12,Doodles,ETH,"93,013.54",-25.24%,37.28%,12.95,4.3K,10.0K
13,Decentraland Wearables,ETH,"76,639.64",90.86%,54.06%,< 0.01,10.6K,71.5K
14,Bored Ape Kennel Club,ETH,"75,242.90",-47.63%,571.50%,7.75,5.5K,9.6K
15,Loot (for Adventurers),ETH,"73,882.87",null,-3.44%,1.6,2.5K,7.8K
16,CryptoKitties,ETH,"70,480.57",14.40%,-18.09%,---,114.6K,2.0M
17,SuperRare,ETH,"64,467.03",-88.74%,-33.98%,0.12,6.4K,30.3K
18,Parallel Alpha,ETH,"64,432.50",61.35%,3.56%,< 0.01,44.1K,529
19,CrypToadz by GREMPLIN,ETH,"63,502.80",-80.19%,321.12%,3.05,4.0K,7.0K
20,Art Blocks Playground,ETH,"61,159.52",12.61%,43.94%,---,6.8K,25.2K
21,World of Women,ETH,"58,732.05",-11.19%,131.96%,12.24,5.2K,10.0K
22,CyberKongz,ETH,"52,535.13",-64.63%,110.17%,6.24,2.4K,5.0K
23,HAPE PRIME,ETH,"51,069.97",63.69%,-8.50%,1.76,5.6K,8.2K
24,Sorare,ETH,"50,261.94",null,-18.65%,0.03,17.8K,329.7K
